,Cell_line,Day,KO
X26CA3_3KOnum6_DAY_0_S4_.sf,26CA,0,CCM3
X26CA3_3KOnum6_DAY_4_S8_.sf,26CA,4,CCM3
X26CA3_3KOnum6_DAY_6_S12_.sf,26CA,6,CCM3
ED36C7_3KOnum1_DAY_0_S3_.sf,ED36,0,CCM3
ED36C7_3KOnum1_DAY_4_S7_.sf,ED36,4,CCM3
ED36C7_3KOnum1_DAY_6_S11_.sf,ED36,6,CCM3
H7_3KOnum3_DAY_0_S2_.sf,H7,0,CCM3
H7_3KOnum3_DAY_4_S6_.sf,H7,4,CCM3
H7_3KOnum3_DAY_6_S10_.sf,H7,6,CCM3
H7_DAY_0_S1_.sf,H7,0,Mock
H7_DAY_4_S5_.sf,H7,4,Mock
H7_DAY_6_S9_.sf,H7,6,Mock
X26CA3_3KOnumb6_DAY_10_S4_.sf,26CA,10,CCM3
X26CA3_DAY_0_S9_.sf,26CA,0,Mock
X26CA3_DAY_10_S12_.sf,26CA,10,Mock
X26CA3_DAY_4_S10_.sf,26CA,4,Mock
X26CA3_DAY_6_S11_.sf,26CA,6,Mock
ED36C7_3KOnumb1_DAY_10_S3_.sf,ED36,10,CCM3
ED36C7_DAY_0_S5_.sf,ED36,0,Mock
ED36C7_DAY_10_S8_.sf,ED36,10,Mock
ED36C7_DAY_4_S6_.sf,ED36,4,Mock
ED36C7_DAY_6_S7_.sf,ED36,6,Mock
H7_3KOnumb3_DAY_10_S2_.sf,H7,10,CCM3
H7_DAY_10_S1_.sf,H7,10,Mock
